Timecode List:,00:01:01.200,00:01:08.800,00:01:54.800,00:02:17.600,00:02:48.400,00:02:55.640,00:03:26.400,00:03:57.200
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,1530,00:01:01.200,61.200,1530,00:01:01.200,61.200
2,1531,00:01:01.200,61.200,1720,00:01:08.800,68.800,190,00:00:07.600,7.600
3,1721,00:01:08.800,68.800,2870,00:01:54.800,114.800,1150,00:00:46.000,46.000
4,2871,00:01:54.800,114.800,3440,00:02:17.600,137.600,570,00:00:22.800,22.800
5,3441,00:02:17.600,137.600,4210,00:02:48.400,168.400,770,00:00:30.800,30.800
6,4211,00:02:48.400,168.400,4391,00:02:55.640,175.640,181,00:00:07.240,7.240
7,4392,00:02:55.640,175.640,5160,00:03:26.400,206.400,769,00:00:30.760,30.760
8,5161,00:03:26.400,206.400,5930,00:03:57.200,237.200,770,00:00:30.800,30.800
9,5931,00:03:57.200,237.200,6027,00:04:01.080,241.080,97,00:00:03.880,3.880
